cath_id,count
1.25.40.440,9
3.40.50.670,1
2.40.240.130,7
3.40.630.60,3
3.10.450.220,1
2.30.130.10,3
3.40.50.1440,17
3.30.160.40,3
1.10.530.10,9
3.40.309.10,20
3.40.50.11990,1
1.20.58.1210,4
3.90.80.10,1
1.10.3410.10,2
2.40.30.20,2
1.10.1140.10,3
1.10.167.20,1
1.20.58.1520,6
1.10.880.10,1
3.40.50.10750,2
3.90.1140.10,5
1.20.81.10,15
1.20.120.360,2
3.40.630.10,17
1.20.930.40,4
3.90.650.10,2
1.10.720.30,10
2.60.120.780,4
2.60.40.1970,4
1.20.1440.180,2
1.20.5.1500,3
2.60.120.740,2
3.30.1120.170,1
1.10.40.40,2
2.60.200.10,13
1.25.60.10,5
3.30.1490.120,4
3.40.50.10090,2
2.10.80.10,5
6.10.140.550,7
3.40.120.10,16
1.10.287.3550,9
1.10.287.450,9
1.25.40.490,1
1.20.190.10,9
2.160.10.10,5
3.90.850.10,3
2.170.240.10,2
3.10.450.60,6
2.60.40.2840,10
3.30.230.130,3
1.20.5.3960,1
2.60.120.220,1
3.30.2130.30,3
3.90.180.10,8
3.40.1170.10,3
3.30.420.110,4
2.60.200.40,7
3.40.1080.10,2
2.60.120.650,10
1.10.287.230,16
3.40.50.10130,6
6.10.250.1550,29
3.40.1060.10,3
2.60.120.970,3
3.30.230.90,1
1.20.1320.30,3
1.25.40.370,3
1.10.840.10,19
1.20.58.320,3
3.30.920.10,4
1.20.120.460,2
3.30.70.260,15
2.60.40.180,2
6.10.280.110,10
6.10.250.1020,1
6.10.250.730,2
1.10.1740.10,10
1.10.357.10,2
3.30.1680.10,16
1.10.287.650,9
1.10.10.430,7
1.20.58.1150,6
1.25.40.430,7
1.10.400.10,15
1.10.150.530,2
1.25.40.750,4
3.15.10.50,1
1.20.58.610,2
6.10.140.250,1
3.60.21.10,6
1.10.1450.10,4
1.20.91.10,1
2.20.70.30,2
2.30.29.180,3
2.60.40.2310,9
2.60.40.2020,1
2.60.300.12,1
1.20.1520.10,2
1.10.287.470,14
1.20.120.540,7
3.20.200.10,3
2.70.210.12,2
2.60.40.1140,6
1.10.10.2430,1
2.115.10.20,1
3.40.50.1400,8
2.60.120.470,2
2.60.120.680,6
1.10.287.1520,14
2.40.290.10,7
6.10.220.10,4
2.160.20.160,1
3.30.230.10,12
3.30.70.240,11
6.10.140.1950,21
2.60.40.2560,2
3.30.70.380,6
3.10.450.580,1
1.20.58.2190,8
2.60.120.1020,1
2.20.160.10,1
3.30.70.890,4
6.10.250.1950,3
2.60.40.1640,2
2.40.180.10,1
3.30.1330.190,4
3.10.20.80,1
3.30.110.10,5
6.10.140.1460,5
1.20.58.760,3
3.30.160.360,2
3.40.50.170,4
1.20.1290.10,2
3.30.428.10,7
2.70.9.10,1
1.10.490.70,4
1.10.1540.10,9
3.40.50.1240,10
3.30.70.1030,2
1.20.890.20,1
3.40.50.12650,3
2.60.120.1070,1
1.20.1420.10,23
3.30.1330.40,1
3.30.450.200,4
3.40.50.12430,6
1.20.58.1480,3
3.10.450.570,2
6.10.250.3000,6
3.30.2040.10,1
3.90.1640.20,1
3.30.230.40,2
3.90.70.80,6
6.10.250.860,1
6.10.250.3200,2
1.10.1000.11,6
2.20.220.20,10
1.10.287.620,4
6.10.250.1100,1
3.90.1110.10,3
6.10.250.1220,6
1.10.3390.10,1
3.90.190.20,3
3.30.70.2910,23
2.50.20.30,1
2.40.250.10,1
6.10.250.1340,2
2.40.30.70,1
3.30.2310.20,1
1.20.58.1110,5
1.10.1740.100,1
3.20.20.140,12
3.40.1110.10,10
3.20.20.30,3
1.20.90.10,6
3.40.50.1380,2
3.40.140.20,2
6.10.140.560,1
2.60.120.1290,1
1.10.287.2620,7
3.90.940.10,1
1.20.58.1250,2
1.10.720.60,1
3.30.70.3190,3
